species	genus	subgenus	type	typeref	common	common(s)	range	rangecites	realm	status	NCBITaxonID	EOLID	iNaturalist	GBIF
stenodactylus	Leptuca	.	Gelasimus stenodactylus	MilneEdwards1843	Narrow-fingered Fiddler Crab	English|Narrow-fingered Fiddler Crab	El Salvador to Chile	Crane1975	Eastern Pacific Realm	extant	.	3118963	739184	4382568
stylifera	Uca	Uca	Gelasimus styliferus	MilneEdwards1852	Styled Fiddler Crab	English|Styled Fiddler Crab	El Salvador to northern Peru	Crane1975;vonPrahl1982	Eastern Pacific Realm	extant	53316	3119012	67456	4382496
subcylindrica	Leptuca	.	Gelasimus subcylindricus	Stimpson1859	Laguna Madre Fiddler Crab	English|Laguna Madre Fiddler Crab;English|Puffed Fiddler Crab	USA (Corpus Christi, Texas) through Mexico (Tampico)	Crane1975;Barnwell1984.1;Neck1987;Thurman1987.1	Western Atlantic Realm	extant	.	343568	739185	2221548
tallanica	Leptuca	.	Uca tallanica	vonHagen1968.2	Peruvian Fidder Crab	English|Peruvian Fiddler Crab;English|Tallan Fidder Crab	southern Ecuador to northern Peru	Crane1975	Eastern Pacific Realm	extant	.	3118965	739186	4382533
tangeri	Afruca	.	Gelasimus tangeri	Eydoux1835	West African Fiddler Crab	English|West African Fiddler Crab;English|European Fiddler Crab;Spanish|Barrilete;Portuguese|Bôcas;Portuguese|Cavalletes;English|Moroccan Fiddler Crab	West coast of Africa from Angola to Morocco, São Tomé and Príncipe, Cape Verde, Canary Islands, southwestern Spain and southern Portugal	Crane1975;Castro2012;Gonzalez2017;Gonzalez2018	Eastern Atlantic Realm	extant	53281	2950356	555973	4382502
tenuipedis	Leptuca	.	Uca tenuipedis	Crane1941	Slender-legged Fiddler Crab	English|Slender-legged Fiddler Crab	El Salvador to northern Peru	Crane1975	Eastern Pacific Realm	extant	.	3118966	739187	4382513
terpsichores	Leptuca	.	Uca terpsichores	Crane1941	Dancing Fiddler Crab	English|Dancing Fiddler Crab	southern Guatemala to northern Peru	Crane1975	Eastern Pacific Realm	extant	1239984	3118967	555991	4382498
tetragonon	Gelasimus	Mesuca	Cancer tetragonon	Herbst1790	Tetragonal Fiddler Crab	English|Tetragonal Fiddler Crab;Japanese|ルリマダラシオマネキ;Chinese|四角招潮	present on most islands from the east coast of Africa to the central Pacific Ocean; rarer continental populations observed Kenya, the Red Sea, the mouth of the Persian Gulf, western Malaysia and Thailand, and the east coast of Australia	Crane1975;George1982;Jones1994;vonHagen1989;Barnes2010;Poupin2018;Apel1999;Adirwiryono1984;DevRoy2012	Indo-West Pacific Realm	extant	696549	2981566	555989	4382588
thayeri	Leptuca	.	Uca thayeri	Rathbun1900.3	Atlantic Mangrove Fiddler Crab	English|Atlantic Mangrove Fiddler Crab;English|Thayer's Fiddler Crab	Mexico (Yucatan Peninsula) to Brazil; USA (Florida); throughout Caribbean islands	Crane1975;Powers1977;Barnwell1984.1;Barnwell1986.1;Thurman1987.1;Thurman2013.1	Western Atlantic Realm	extant	53289	343379	739188	2221534
tomentosa	Leptuca	.	Uca tomentosa	Crane1941	Matted Fiddler Crab	English|Matted Fiddler Crab	El Salvador to northern Peru	Crane1975	Eastern Pacific Realm	extant	.	3118968	739189	4382485
triangularis	Austruca	Cuneatuca	Gelasimus triangularis	MilneEdwards1873	Triangular Fiddler Crab	English|Triangular Fiddler Crab;Japanese|シモフリシオマネキ;English|Lemon Fiddler Crab	Indonesia, Philippines, Taiwan, southern Ryuku Islands, New Caledonia, eastern Australia, Melville Island (northern Australia), remote occurrences along mainland China	Crane1975;George1982;Fukui1989;Huang1989;vonHagen1989;Dai1991;Jones1994;Iguchi1994;Shih2019;Tang2007;Shih2010.2;Poupin2010.1	Indo-West Pacific Realm	extant	578101	3118990	739190	4382566
typhoni	Tubuca	Tubuca	Uca demani typhoni	Crane1975	Typhoon Fiddler Crab	English|Typhoon Fiddler Crab	northern Philippines; Hainan (China)	Crane1975;Shih2010.2	Indo-West Pacific Realm	extant	.	3119003	739191	4382560
umbratila	Leptuca	.	Uca umbratila	Crane1941	Pacific Mangrove Fiddler Crab	English|Pacific Mangrove Fiddler Crab	El Salvador to Colombia	Crane1975;vonPrahl1981.1;vonPrahl1982	Eastern Pacific Realm	extant	659865	3118981	739192	4382552
uruguayensis	Leptuca	.	Uca uruguayensis	Nobili1901.2	Uruguayan Fiddler Crab	English|Uruguayan Fiddler Crab;English|Southwestern Atlantic Fiddler Crab	southern Brazil to northern Argentina	Thurman2013.1;Olivier1972;Ribeiro2003.1;Ribeiro2004	Western Atlantic Realm	extant	1212500	3118969	555990	4382579
urvillei	Tubuca	Tubuca	Gelasimus urvillei	MilneEdwards1852	d'Urville's Fiddler Crab	English|d'Urville's Fiddler Crab;English|Blue Fiddler Crab	South Africa to southern Somalia; Madagascar; Mayotte	Shih2018.1;Hodgson1987	Indo-West Pacific Realm	extant	.	2981562	567175	4382584
variegata	Austruca	Cuneatuca	Gelasimus variegatus	Heller1862.1	Motley Fiddler Crab	English|Motley Fiddler Crab	eastern India, Sri Lanka, and Bangladesh; possibly the Andaman Islands	Shih2019	Indo-West Pacific Realm	extant	.	.	905592	.
victoriana	Minuca	.	Uca victoriana	vonHagen1987.1	Victorian Fiddler Crab	English|Victorian Fiddler Crab	Brazil	Thurman2013.1	Western Atlantic Realm	extant	1239961	3118982	739193	4382534
virens	Minuca	.	Uca virens	Salmon1968.1	Green-banded Fiddler Crab	English|Green-banded Fiddler Crab	USA (northwestern Florida) to eastern Mexico	Thurman2018	Western Atlantic Realm	extant	.	341419	739194	.
vocans	Gelasimus	Gelasimus	Cancer vocans	Linnaeus1758	Calling Fiddler Crab	English|Calling Fiddler Crab;Japanese|ヒメシオマネキ	Hainan Island (China), Ryuku Islands (Japan); Philippines; central and western Indonesia; Borneo, Malay Peninsula, including Thailand and southern Myanmar	Crane1975;Nakasone1983.1;Nakasone1982;Huang1989;Barnes2010;Shih2010.1;Shih2010.2	Indo-West Pacific Realm	extant	53312	3048988	555985	4382569
vocator	Minuca	.	Cancer vocator	Herbst1804	Atlantic Hairback Fiddler Crab	English|Atlantic Hairback Fiddler Crab;English|Jumbi Crab	Mexico to Brazil; Hispaniola; Puerto Rico; Lesser Antilles	Crane1975;Thurman1984.1;Thurman1987;Barnwell1984.1;Barnwell1986.1;Thurman2013.1;PerezMozqueda2014	Western Atlantic Realm	extant	659866	313146	739195	2221543
vomeris	Gelasimus	Gelasimus	Uca vomeris	McNeill1920	Southern Calling Fiddler Crab; Two-toned Fiddler Crab	English|Southern Calling Fiddler Crab;English|Two-toned Fiddler Crab;English|Orange-clawed Fiddler Crab	east coast of Australia, New Caledonia, possibly eastern New Guinea	Crane1975;George1982;vonHagen1989;Poupin2010.2	Indo-West Pacific Realm	extant	657545	3118941	556006	4382507
zacae	Minuca	.	Uca zacae	Crane1941	Lesser Mexican Fiddler Crab	English|Lesser Mexican Fiddler Crab	Mexico to Costa Rica	Crane1975;Hendrickx1979;Hendrickx1984;Hendrickx1992	Eastern Pacific Realm	extant	659867	3118984	556005	4382559
