Reference(s)	Species	Total	Right	Left	% Right	% Left	Note
Yamaguchi1994	triangularis	15	11	4	0.733	0.267	The "subspecies" were only listed in the details, not the primary table
Yamaguchi1994	bengali	3	0	3	0.000	1.000	The "subspecies" were only listed in the details, not the primary table
Yamaguchi1994	bellator	32	15	17	0.469	0.531	The "subspecies" were only listed in the details, not the primary table
Yamaguchi1994	signata	2	0	2	0.000	1.000	The "subspecies" were only listed in the details, not the primary table
Yamaguchi1994	chlorophthalmus	5	1	4	0.200	0.800	These are the African individuals he had under the species {{chlorophthalmus}}
Yamaguchi1994	crassipes	4	0	4	0.000	1.000	These are the Pacific individuals he had under the species {{chlorophthalmus}}
Yamaguchi1994	hesperiae	11	10	1	0.909	0.091	These are the Indian Ocean individuals he had under the species {{vocans}}
Yamaguchi1994	excisa	2	2	0	1.000	0.000	These are the Fijian and Samoan individuals he had under the species {{vocans}}
Yamaguchi1994	vocans	102	99	3	0.971	0.029	These are the individuals he had under the species {{vocans}} that are not clearly another species due to geography
Yamaguchi1994	occidentalis	78	44	34	0.564	0.436	These are the African individuals he had under the species {{annulipes}}
Yamaguchi1994	annulipes	271	144	127	0.531	0.469	These are the non-African individuals he had under the species {{annulipes}}
Spivak1991	uruguayensis	820	409	411	0.499	0.501	.
Tina2015.2	bengali	80	39	41	0.488	0.513	.
Tina2016.3	rosea	40	22	18	0.550	0.450	.
Jaroensutasinee2004	alcocki	77	40	37	0.519	0.481	These are labled as {{urvillei}}
Jaroensutasinee2004	tetragonon	12	11	1	0.917	0.083	.
Jaroensutasinee2004	paradussumieri	29	13	16	0.448	0.552	.
Jaroensutasinee2004	rosea	11	4	7	0.364	0.636	.
Jaroensutasinee2004	bengali	364	201	163	0.552	0.448	.
Jaroensutasinee2004	perplexa	116	60	56	0.517	0.483	.
Jaroensutasinee2004	hesperiae	82	75	7	0.915	0.085	.
Jaroensutasinee2004	forcipata	120	71	49	0.592	0.408	.
Jaroensutasinee2004	annulipes	684	342	342	0.500	0.500	.
