species	subgenus	type	typeref	common	common(s)	range	rangecites	region	status
inversa	Cranuca	Gelasimus inversus	Hoffmann1874	Inversed Fiddler Crab	Inversed Fiddler Crab	"Western Indian Ocean: Madagasca, South Africa to Red Sea, Gulf of Aden, southern Oman (Dhofar), Persian Gulf, Gulf of Oman"	Crane1975;Collins1984;Price1987;Naderloo2012	Indo-West Pacific	extant
iranica	Austruca	Uca annulipes iranica	Pretzmann1971	Iranian Fiddler Crab	Iranian Fiddler Crab	Persian Gulf and Gulf of Oman	Shih2009;Naderloo2010;Naderloo2012	Indo-West Pacific	extant
jocelynae	Gelasimus	Uca jocelynae	Shih2010.1	Jocelyn's Fiddler Crab	Jocelyn's Fiddler Crab	"Pacific islands west of Fiji, including Japan (Ryukyus), Taiwan, the Philippines, Indonesia, Papua New Guinea, and Vanuatu"	Shih2010.1	Indo-West Pacific	extant
lactea	Austruca	Ocypode (Gelasimus) lacteus	deHaan1835	Milky Fiddler Crab	Milky Fiddler Crab	"China, Taiwan, South Korea, Japan"	Shih2009;Naderloo2010	Indo-West Pacific	extant
latimanus	Leptuca	Gelasimus latimanus	Rathbun1893	Lateral-handed Fiddler Crab	Lateral-handed Fiddler Crab	Mexico (Baja California) to Ecuador	Crane1975;Hendrickx1979;Hendrickx1984;Brusca1980;Campos1989	Eastern Pacific	extant
leptodactyla	Leptuca	Uca leptodactyla	Rathbun1898	Thin-fingered Fiddler Crab	Thin-fingered Fiddler Crab	"Caribbean, Brazil, Venezuela, Mexico (Yucatan), USA (rare occurences in Florida)"	Crane1975;Powers1977;Barnwell1984.1;Barnwell1986.1;Abele1986;Thurman1987.1;Thurman2013.1	Western Atlantic	extant
limicola	Leptuca	Uca limicola	Crane1941	Pacific Mud Fiddler Crab	Pacific Mud Fiddler Crab	El Salvador to Panama	Crane1975	Eastern Pacific	extant
longidigitum	Australuca	Gelasimus longidigitum	Kingsley1880	Long-fingered Fiddler Crab	Long-fingered Fiddler Crab	Australia (Northeast coast)	George1982;vonHagen1989	Indo-West Pacific	extant
longisignalis	Minuca	Uca longisignalis	Salmon1968.1	Gulf Marsh Fiddler Crab	"Gulf Marsh Fiddler Crab, tou-la-lou"	"Gulf of Mexico - USA (Yankeetown, Florida to Boca Chica, Texas)"	Hopkins2010.2	Western Atlantic	extant
major	Uca	Cancer vocans major	Herbst1782	Greater Fiddler Crab	"Greater Fiddler Crab, Major Fiddler Crab"	"Panama to Venezuela, Caribbean, southern Mexico (Veracruz to Tabasco)"	Crane1975;Barnwell1984;Barnwell1986.1;Thurman1987;Thurman (personal communication);UtreraLopez2013	Western Atlantic	extant
maracoani	Uca	Ocypode maracoani	Latreille1802	Brazilian Fiddler Crab	Brazilian Fiddler Crab	Venezuela (Golfo de Paria)to Brazil (Baía de Guaratuba)	Thurman2013.1	Western Atlantic	extant
marguerita	Minuca	Uca marguerita	Thurman1981.1	Olmec Fiddler Crab	Olmec Fiddler Crab	"Gulf of Mexico - Mexico (La Pesca, Tamaulipas to Rio San Pedro, Campeche)"	Hopkins2010.2	Western Atlantic	extant
marinae	Uca	Uca marinae	DominguezAlonso2008	#	#	"Cedeno, Gulf of Fonseca, Honduras"	DominguezAlonso2008	Plio-Pleistocene	fossil
minax	Minuca	Gelasimus minax	LeConte1855	Red-jointed Fiddler Crab	"Red-jointed Fiddler Crab, Brackish Water Fiddler Crab"	"USA (Massachusetts to Northeast Florida, Northwest Florida to Louisiana, a few scattered locations in Texas)"	Hopkins2010.2	Western Atlantic	extant
mjoebergi	Austruca	Uca mjöbergi	Rathbun1924.1	Mjöberg's Fiddler Crab	Mjöberg's Fiddler Crab	"Australia (Northwest Territory to Western Australia), scattered records on New Guinea and central Indonesia"	Shih2009;Naderloo2010;Barnes2010	Indo-West Pacific	extant
monilifera	Uca	Uca monilifera	Rathbun1915	Necklaced Fiddler Crab	Necklaced Fiddler Crab	Northern Gulf of California	Crane1975;Brusca1980;Mangum1996.1	Eastern Pacific	extant
mordax	Minuca	Gelasimus mordax	Smith1870.2	Biting Fiddler Crab	Biting Fiddler Crab	Belize to Brazil	Thurman2013.1	Western Atlantic	extant
musica	Leptuca	Uca musica	Rathbun1915	Musical Fiddler Crab	Musical Fiddler Crab	"Gulf of California, Mexico (Nayarit to Baja California)"	Crane1975;Brusca1980;Hendrickx1984;Campos1989	Eastern Pacific	extant
neocultrimana	Gelasimus	Mesuca neocultrimana	Bott1973.2	Eastern Calling Fiddler Crab	"Pacific Calling Fiddler Crab, Eastern Calling Fiddler Crab"	"Fiji, Wallis, Samoa"	Shih2010.1	Indo-West Pacific	extant
oerstedi	Leptuca	Uca oerstedi	Rathbun1904.1	Aqua Fiddler Crab	"Aqua Fiddler Crab, Œrsted's Fiddler Crab"	El Salvador to Panama	Crane1975;Abele1989	Eastern Pacific	extant
oldroydi	Uca	Uca oldroydi	Rathbun1926.1	#	#	"USA (California: Deadman Island, near San Pedro, Los Angeles County)"	Rathbun1926.1	Pliocene	fossil
ornata	Uca	Gelasimus ornatus	Smith1870.2	Ornate Fiddler Crab	Ornate Fiddler Crab	El Salvador to Northern Peru	Crane1975	Eastern Pacific	extant
